country,alpha_2_code,alpha_3_code,numeric_code,year,"Population, total",GDP per capita (constant 2015 US$),GNI (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),Fossil fuel energy consumption (% of total),GDP growth (annual %),"Birth rate, crude (per 1,000 people)","Hospital beds (per 1,000 people)"
Afghanistan,AF,AFG,4,1960,9035043,,548888848.9,,32.535,,,,50.34,0.170626998
Afghanistan,AF,AFG,4,1961,9214083,,560000022.2,,33.068,,,,50.443,
Afghanistan,AF,AFG,4,1962,9404406,,557777806.7,,33.547,,,,50.57,
Afghanistan,AF,AFG,4,1963,9604487,,766666706.7,,34.016,,,,50.703,
Afghanistan,AF,AFG,4,1964,9814318,,815555562.2,,34.494,,,,50.831,
Afghanistan,AF,AFG,4,1965,10036008,,1026666678,,34.953,,,,50.872,
Afghanistan,AF,AFG,4,1966,10266395,,1428888871,,35.453,,,,50.986,
Afghanistan,AF,AFG,4,1967,10505959,,1708888882,,35.924,,,,51.081,
Afghanistan,AF,AFG,4,1968,10756922,,1402222182,,36.418,,,,51.148,
Afghanistan,AF,AFG,4,1969,11017409,,1437777738,,36.91,,,,51.195,
Afghanistan,AF,AFG,4,1970,11290128,,1784444427,,37.418,1.629606099,,,51.122,0.199000001
Afghanistan,AF,AFG,4,1971,11567667,,1868886653,,37.923,,,,51.163,
Afghanistan,AF,AFG,4,1972,11853696,,1631108938,,38.444,,,,51.109,
Afghanistan,AF,AFG,4,1973,12157999,,1771108944,,39.003,1.868910256,,,51.114,
Afghanistan,AF,AFG,4,1974,12469127,,2202222229,,39.55,1.610824742,,,51.135,
Afghanistan,AF,AFG,4,1975,12773954,,2417777778,,40.1,1.722065728,,,51.018,
Afghanistan,AF,AFG,4,1976,13059851,,2611111162,,40.645,2.046086957,,,50.935,
Afghanistan,AF,AFG,4,1977,13340756,,3017777698,,41.228,2.011474793,,,50.921,
Afghanistan,AF,AFG,4,1978,13611441,,3371111038,,40.271,,,,50.816,
Afghanistan,AF,AFG,4,1979,13655567,,3775743789,,39.086,,,,50.737,
Afghanistan,AF,AFG,4,1980,13169311,,3716553247,,39.618,,,,50.482,
Afghanistan,AF,AFG,4,1981,11937581,,3551514996,,40.164,,,,50.264,0.275599986
Afghanistan,AF,AFG,4,1982,10991378,,,,37.766,,,,50.138,
Afghanistan,AF,AFG,4,1983,10917982,,,,38.187,,,,50.139,
Afghanistan,AF,AFG,4,1984,11190221,,,,33.329,,,,50.235,
Afghanistan,AF,AFG,4,1985,11426852,,,,33.55,,,,50.553,
Afghanistan,AF,AFG,4,1986,11420074,,,,39.396,,,,50.728,
Afghanistan,AF,AFG,4,1987,11387818,,,,39.844,,,,50.845,0.309100002
Afghanistan,AF,AFG,4,1988,11523298,,,,43.958,,,,50.98,
Afghanistan,AF,AFG,4,1989,11874088,,,,45.158,,,,51.162,
Afghanistan,AF,AFG,4,1990,12045660,,,,45.967,,,,51.423,0.249799997
Afghanistan,AF,AFG,4,1991,12238879,,,,46.663,,,,51.788,
Afghanistan,AF,AFG,4,1992,13278974,,,,47.596,,,,51.948,
Afghanistan,AF,AFG,4,1993,14943172,,,,51.466,,,,52.038,
Afghanistan,AF,AFG,4,1994,16250794,,,,51.495,,,,52.174,
