country,estimated_mortality_per_1000_mean,estimated_mortality_per_1000_count,"Life expectancy at birth, total (years)_mean",child_deprivation_mean
South Sudan,157.2644225,64,39.36255555555555,
Mali,138.22075145787775,64,45.57095238095238,18.5535945892334
Chad,138.11832191773772,64,45.61377777777778,33.46902847290039
Sierra Leone,137.9178118342051,64,45.63642857142857,15.745614051818848
Nigeria,135.97807755885543,64,46.088,16.221643447875977
Niger,135.84780972276212,64,46.259412698412696,32.68775939941406
Malawi,133.61378112696724,64,46.712587301587305,5.74531888961792
Angola,132.9867881232971,64,46.9177619047619,15.839014053344728
Mozambique,131.23777111280978,64,47.378793650793654,27.586400985717773
Timor-Leste,131.0755730859244,64,46.913555555555554,8.97237777709961
Guinea-Bissau,130.0043824519259,64,47.67638095238095,17.80702781677246
Central African Republic,128.49415625,64,47.946825396825396,
Guinea,128.2207924801141,64,48.12487301587302,14.798398971557615
Afghanistan,127.69219437500001,64,48.15255555555555,
Liberia,127.54099742283167,64,48.314888888888895,16.99812126159668
Somalia,126.369554375,64,48.394666666666666,
Burundi,126.21626847643674,64,48.56649206349206,11.888486862182615
Burkina Faso,125.54717375000001,64,48.702825396825396,
Ethiopia,124.87935196465851,64,49.127873015873014,36.12454605102539
"Congo, the Democratic Republic of the",123.01896702133597,64,49.49347619047619,24.22429847717285
Equatorial Guinea,121.05938,64,49.83696825396825,
Namibia,120.88023989200593,1,,8.03242015838623
Uganda,119.48861043460906,64,50.38973015873016,16.111440658569336
Ivory Coast,117.38355224826813,64,50.87473015873016,14.8245849609375
Gambia,116.99161001610369,64,50.99247619047619,6.260041236877441
Benin,115.34068624494493,64,51.473333333333336,22.91413307189941
Rwanda,113.99147008679272,64,51.539031746031746,9.133289337158203
Eritrea,113.772670625,64,51.72338095238095,
Lesotho,112.03572598378241,64,52.1837619047619,10.930135726928713
Zambia,111.38238583236814,64,52.488,18.781230926513672
Cameroon,111.28420422489017,64,52.48193650793651,14.34035587310791
Togo,109.81888788905502,64,52.876349206349204,21.79513931274414
"Tanzania, United Republic of",108.90831879070342,64,53.170031746031746,24.632680892944336
Swaziland,108.87571385871769,64,53.00539682539683,8.317646026611328
Haiti,105.21729693463803,64,54.06471428571429,16.125869750976562
Senegal,105.10148619769991,64,54.11004761904762,12.302865982055664
Lao People's Democratic Republic,104.62012857030123,64,54.23493650793651,13.0916109085083
Comoros,104.61776747164816,64,54.187158730158735,12.29750156402588
Cambodia,104.30765737495541,64,53.790841269841266,22.381084442138672
Sudan,104.2944725,64,54.15485714285714,
Madagascar,104.14277338259458,64,54.43244444444445,31.68415069580078
